AREA_NAME,AREA_CODE,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Blaby,E07000129,0.405877525,0.411203587,0.418871595,0.422482318,0.425822383,0.407978857,0.420122057,0.414732275,0.420389806,0.418007033
Charnwood,E07000130,0.323246189,0.313787947,0.299289705,0.313604857,0.313009581,0.320908806,0.312390439,0.327713137,0.321742639,0.317067283
Harborough,E07000131,0.353218909,0.359650117,0.345527084,0.352096934,0.363444387,0.368961529,0.355172159,0.363087979,0.366414913,0.346777685
Hinckley and Bosworth,E07000132,0.387821102,0.390746625,0.393276763,0.396337001,0.404727606,0.402680289,0.397198403,0.389966516,0.392793371,0.386231804
Melton,E07000133,0.414837794,0.411119857,0.40728746,0.403221102,0.4228713,0.425300152,0.409284281,0.426814879,0.420135309,0.426103845
North West Leicestershire,E07000134,0.416463631,0.409279156,0.420199649,0.408227179,0.408375101,0.450835694,0.45273531,0.437604963,0.464630124,0.453639514
Oadby and Wigston,E07000135,0.417287761,0.425565484,0.425158514,0.416922258,0.406735319,0.405797452,0.396409479,0.402493637,0.411740626,0.390978356
Boston,E07000136,0.443851448,0.463425916,0.46834708,0.454761248,0.46221293,0.454004919,0.448503166,0.44168432,0.457078502,0.444754924
East Lindsey,E07000137,0.392197265,0.405499593,0.401998079,0.398449243,0.398204641,0.411127032,0.389367359,0.412522075,0.409281829,0.396259222
Lincoln,E07000138,0.309670981,0.319105305,0.312010966,0.31995172,0.306970802,0.323965532,0.332641885,0.32401615,0.322602963,0.316141816
North Kesteven,E07000139,0.413875782,0.380175957,0.405340222,0.407213469,0.408569826,0.409912201,0.414665114,0.413431267,0.404143784,0.400609615
South Holland,E07000140,0.495817359,0.506225741,0.520326174,0.503253199,0.517737264,0.51370614,0.490756355,0.493844253,0.472821344,0.457711486
South Kesteven,E07000141,0.330018551,0.335786945,0.332603861,0.314654575,0.316241097,0.333901716,0.322294039,0.340338587,0.330770703,0.31553496
West Lindsey,E07000142,0.391609957,0.386216022,0.379802579,0.379605084,0.359292013,0.373479189,0.338795524,0.368814407,0.390534301,0.380587116
Ashfield,E07000170,0.418633423,0.420318408,0.419732037,0.401439555,0.422654764,0.417103509,0.430844917,0.437365631,0.447966034,0.431564239
Bassetlaw,E07000171,0.359348899,0.363688253,0.343188051,0.36094413,0.365608127,0.361663457,0.344173244,0.346845031,0.340687666,0.375759095
Broxtowe,E07000172,0.356907288,0.356621284,0.375206012,0.359340695,0.372341472,0.391542902,0.358994006,0.35083532,0.362384487,0.365308525
Gedling,E07000173,0.367218736,0.36915682,0.373740017,0.351251821,0.363665456,0.392632367,0.352626589,0.386048983,0.346983446,0.364996313
Mansfield,E07000174,0.342265785,0.347021504,0.348287389,0.345117941,0.359063265,0.372419807,0.351154008,0.376767817,0.383391725,0.361475593
Newark and Sherwood,E07000175,0.335910854,0.349200915,0.347476432,0.362721796,0.374381463,0.367999419,0.357794455,0.384220099,0.370472358,0.374603877
Rushcliffe,E07000176,0.325713808,0.325884998,0.339094852,0.357989877,0.354328545,0.369948844,0.337134467,0.356410441,0.329400902,0.35162762
"Herefordshire, County of",E06000019,0.307202525,0.300898937,0.295391706,0.303201829,0.299577891,0.301723221,0.320472564,0.294966277,0.301137906,0.288471326
Telford and Wrekin,E06000020,0.331806507,0.322405129,0.31804449,0.324944314,0.313887625,0.315745657,0.33016802,0.331087736,0.333960845,0.321878035
Stoke-on-Trent,E06000021,0.324463392,0.317713106,0.309079994,0.319134466,0.316470094,0.304106776,0.321648833,0.32954937,0.328628948,0.336515895
Shropshire,E06000051,0.256110394,0.257873053,0.254950826,0.261103526,0.246903531,0.24720503,0.252825003,0.261029605,0.2582756,0.262400753
Cannock Chase,E07000192,0.389491374,0.373223683,0.389163385,0.380157576,0.381676031,0.380288579,0.394579867,0.364076476,0.37496608,0.354040912
East Staffordshire,E07000193,0.357815263,0.332596178,0.349599052,0.353784334,0.352647539,0.369877522,0.34153627,0.346345226,0.338809686,0.336815304
Lichfield,E07000194,0.333848944,0.330377774,0.296760635,0.297998674,0.306074881,0.287867268,0.310450799,0.318036037,0.328857483,0.314795709
Newcastle-under-Lyme,E07000195,0.345603088,0.321937673,0.317338168,0.336692645,0.333267624,0.33015489,0.334320549,0.351738867,0.336948061,0.360537826
South Staffordshire,E07000196,0.420245021,0.414245144,0.419100523,0.42125347,0.433149728,0.421434709,0.43075107,0.433049713,0.407179135,0.403324307
Stafford,E07000197,0.329520107,0.330882179,0.319602557,0.330288984,0.318644799,0.324897481,0.33259139,0.325887754,0.33181767,0.323839755
Staffordshire Moorlands,E07000198,0.42610195,0.401161712,0.409707009,0.438956926,0.441820729,0.417813855,0.422719252,0.435851797,0.429423746,0.431394151
Tamworth,E07000199,0.386191289,0.354307994,0.362440479,0.362294737,0.37434012,0.365355171,0.373245865,0.371908819,0.378484368,0.386464176
North Warwickshire,E07000218,0.488475185,0.484569587,0.49431067,0.492134053,0.511844106,0.507615091,0.511718919,0.540797767,0.542519144,0.548492445
Nuneaton and Bedworth,E07000219,0.333260034,0.341501302,0.339043221,0.351992014,0.34445212,0.328332188,0.33913235,0.326070274,0.344153133,0.361956983
Rugby,E07000220,0.351855086,0.340604999,0.337325137,0.318255295,0.346782754,0.343952094,0.366921332,0.380757467,0.385006501,0.391370186
Stratford-on-Avon,E07000221,0.363031063,0.372183669,0.389317205,0.373164261,0.378049882,0.380769625,0.388518161,0.38558226,0.393248875,0.413448791
Warwick,E07000222,0.297147386,0.299888338,0.309120413,0.312463774,0.309185798,0.316340505,0.324618798,0.330936798,0.314755409,0.316083658
Bromsgrove,E07000234,0.321081737,0.380734497,0.413761088,0.371304326,0.373222962,0.375808189,0.320811214,0.317142918,0.316887436,0.317019918
Malvern Hills,E07000235,0.371530255,0.375375961,0.376875624,0.379710535,0.382617788,0.370106295,0.382407854,0.378502359,0.383723625,0.377812174
Redditch,E07000236,0.369079858,0.35549501,0.335112537,0.353859144,0.362258364,0.344950845,0.343138837,0.346487985,0.355322289,0.342391235
Worcester,E07000237,0.306827495,0.301952397,0.298516429,0.302801779,0.300979629,0.292310124,0.302876608,0.302992648,0.291713897,0.297369264
Wychavon,E07000238,0.347747814,0.34784988,0.357688118,0.365117535,0.358484204,0.344129101,0.366524144,0.355752178,0.342102256,0.346922069
Wyre Forest,E07000239,0.333126028,0.316295516,0.310535856,0.333706365,0.347563696,0.341096158,0.3717997,0.334982744,0.345334697,0.349900825
Birmingham,E08000025,0.195695204,0.183665207,0.17963261,0.193890545,0.197884288,0.201027266,0.210080347,0.219807679,0.202644263,0.200769398
Coventry,E08000026,0.294129009,0.285654421,0.283562555,0.292524645,0.295066321,0.280506045,0.28770908,0.277872096,0.291967285,0.301613918
Dudley,E08000027,0.299616744,0.287872476,0.29338952,0.286275167,0.295641896,0.290238167,0.303741543,0.29611855,0.291399026,0.28472575
Sandwell,E08000028,0.399987577,0.372205,0.369180008,0.364565301,0.366607922,0.355650004,0.385322367,0.360923596,0.35369322,0.347280258
Solihull,E08000029,0.316262668,0.303034856,0.313041916,0.375478067,0.388987096,0.387833651,0.396468238,0.405316654,0.375330256,0.374311587
Walsall,E08000030,0.318300876,0.31074436,0.316921768,0.338838209,0.322162262,0.325442038,0.334579039,0.337698435,0.348047932,0.325543398
Wolverhampton,E08000031,0.284303342,0.28713376,0.27274057,0.27853825,0.274352888,0.281264785,0.291032384,0.298286654,0.29342366,0.297446779
Peterborough,E06000031,0.313414608,0.306953242,0.301225398,0.290546593,0.284097538,0.281056228,0.300610627,0.295477127,0.300936671,0.298963421
Luton,E06000032,0.305962173,0.324585876,0.320761845,0.324139091,0.316580604,0.326346033,0.336918557,0.38095823,0.377201023,0.369940108
Southend-on-Sea,E06000033,0.272997489,0.282742766,0.288299567,0.290076097,0.296504525,0.294589938,0.292231903,0.29971682,0.281475912,0.296466954
Thurrock,E06000034,0.378730947,0.375504158,0.370550842,0.377377902,0.368518495,0.388810219,0.415323295,0.414096254,0.408044593,0.428400428
Bedford,E06000055,0.267844748,0.270609729,0.258105531,0.26437381,0.25468597,0.256286995,0.277028999,0.274440344,0.269955412,0.269225678
Central Bedfordshire,E06000056,0.275291373,0.294582896,0.286739182,0.289950653,0.277909956,0.287801569,0.296236518,0.294783406,0.284114161,0.294994137
Cambridge,E07000008,0.393982216,0.391884031,0.390372571,0.415866012,0.425754725,0.420688334,0.439352865,0.433608356,0.430580694,0.462084487
East Cambridgeshire,E07000009,0.39052585,0.406928837,0.384013795,0.397190891,0.385268148,0.385737044,0.384010056,0.364411296,0.381912978,0.387436563
Fenland,E07000010,0.421227969,0.427138924,0.428843794,0.428249261,0.440223956,0.44214623,0.444273139,0.426776282,0.437414098,0.438173531
Huntingdonshire,E07000011,0.283794146,0.288885934,0.267370439,0.289792179,0.275536164,0.271602251,0.281025916,0.286837742,0.270641094,0.280366439
South Cambridgeshire,E07000012,0.380623502,0.377375629,0.371623832,0.372830061,0.402337908,0.38525558,0.40338464,0.390306414,0.391919617,0.377432685
Basildon,E07000066,0.310440391,0.295354639,0.29094492,0.286748004,0.283585133,0.278252266,0.278094012,0.284544309,0.283917029,0.288677787
Braintree,E07000067,0.314114731,0.296180631,0.302501109,0.30185147,0.29541605,0.289836869,0.301991443,0.322315322,0.293557158,0.305294849
Brentwood,E07000068,0.350061168,0.344735452,0.338227904,0.34957454,0.345387349,0.347574703,0.352112949,0.34425134,0.334768607,0.338254949
Castle Point,E07000069,0.379870053,0.394238451,0.374943035,0.378554091,0.386131446,0.386578697,0.394445613,0.38806625,0.375246875,0.388132428
